Date,Open,High,Low,Close,Change,%Chg,Volume
10/17/2023,1920.1,1929.72,1912.83,1923.04,3.18,+0.17%,5614
10/16/2023,1932.84,1932.93,1909.36,1919.86,-9.98,-0.52%,5280
10/13/2023,1868.99,1930.24,1868.98,1929.84,60.85,+3.26%,5487
10/12/2023,1874.04,1884.21,1868.42,1868.99,-4.64,-0.25%,5665
10/11/2023,1860.36,1876.3,1859.03,1873.63,13.61,+0.73%,5659
10/10/2023,1861.45,1864.81,1854.07,1860.02,-1.5,-0.08%,5569
10/09/2023,1832.62,1863.01,1832.61,1861.52,29.64,+1.62%,5395
10/06/2023,1820.31,1833.74,1812.39,1831.88,11.68,+0.64%,5372
10/05/2023,1821.22,1829.06,1815.13,1820.2,-0.58,-0.03%,5600
10/04/2023,1823.04,1828.26,1817.01,1820.78,-2.58,-0.14%,5562
10/03/2023,1828.02,1830.64,1816.07,1823.36,-4.88,-0.27%,5472
10/02/2023,1848.68,1848.74,1827.72,1828.24,-20.96,-1.13%,5441
09/29/2023,1864.93,1878.05,1846.7,1849.2,-15.72,-0.84%,5685
09/28/2023,1875.07,1878.03,1859.15,1864.92,-10.53,-0.56%,5692
09/27/2023,1900.66,1902.73,1873.12,1875.45,-25.04,-1.32%,5777
09/26/2023,1915.94,1916.74,1899.59,1900.49,-15.53,-0.81%,5845
09/25/2023,1925.46,1926.56,1915.42,1916.02,-9.4,-0.49%,5720
09/22/2023,1920.08,1928.49,1919.86,1925.42,5.33,+0.28%,5905
09/21/2023,1930.11,1931.41,1915.2,1920.09,-9.41,-0.49%,5876
09/20/2023,1931.39,1947.12,1928.63,1929.5,-1.8,-0.09%,5884
09/19/2023,1933.67,1936.88,1930.13,1931.3,-2.39,-0.12%,6060
09/18/2023,1923.78,1934.18,1922.94,1933.69,9.93,+0.52%,5865
09/15/2023,1910.62,1929.82,1909.97,1923.76,13.4,+0.70%,5935
09/14/2023,1908.32,1912.68,1901.68,1910.36,1.9,+0.10%,5901
09/13/2023,1913.51,1914.92,1908.4,1908.46,-4.85,-0.25%,5961
09/12/2023,1922.38,1924.05,1908.74,1913.31,-9.07,-0.47%,5994
09/11/2023,1919.15,1929.75,1918.06,1922.38,3.13,+0.16%,5900
09/08/2023,1919.6,1928.93,1917.74,1919.25,-0.29,-0.02%,6007
09/07/2023,1916.45,1922.88,1916.41,1919.54,3.33,+0.17%,6017
09/06/2023,1926.06,1928.21,1915.98,1916.21,-9.71,-0.50%,5970
09/05/2023,1938.51,1938.75,1925.62,1925.92,-12.59,-0.65%,5927
09/04/2023,1940.27,1946.16,1937.02,1938.51,-1.39,-0.07%,5502
09/01/2023,1939.96,1950.48,1935.79,1939.9,-0.01,0.00%,5938
08/31/2023,1942.54,1947.65,1939.6,1939.91,-2.99,-0.15%,6002
08/30/2023,1937.49,1948.1,1935.22,1942.9,5.27,+0.27%,5976
08/29/2023,1920.15,1938.03,1915.23,1937.63,17.58,+0.92%,5974
08/28/2023,1914.84,1925.32,1913.91,1920.05,5.4,+0.28%,5899
08/25/2023,1916.86,1919.91,1904.63,1914.65,-2.43,-0.13%,5852
08/24/2023,1915.49,1922.33,1913.06,1917.08,1.73,+0.09%,5829
08/23/2023,1897.56,1920.13,1897.56,1915.35,17.89,+0.94%,5904
08/22/2023,1890.34,1904.05,1890.34,1897.46,2.71,+0.14%,3340
08/21/2023,1890.05,1898.75,1884.95,1894.75,5.12,+0.27%,0
08/18/2023,1889.32,1895.4,1887.49,1889.63,0.64,+0.03%,5891
08/17/2023,1892.27,1902.53,1885.45,1888.99,-3.83,-0.20%,5830
08/16/2023,1901.79,1906.98,1892.29,1892.82,-8.83,-0.46%,5815
08/15/2023,1907.52,1910.6,1900.98,1901.65,-5.82,-0.31%,5774
08/14/2023,1913.8,1915.72,1904.02,1907.47,-6.27,-0.33%,5716
08/11/2023,1912.42,1920.37,1911.96,1913.74,1.23,+0.06%,5878
08/10/2023,1914.75,1927.43,1912.51,1912.51,-2.1,-0.11%,5783
08/09/2023,1925.13,1931.88,1914.58,1914.61,-10.23,-0.53%,5846
08/08/2023,1936.5,1937.69,1924.12,1924.84,-11.61,-0.60%,5798
08/07/2023,1942.98,1944.47,1932.4,1936.45,-6.56,-0.34%,5178
08/04/2023,1934.19,1945.77,1931.01,1943.01,8.73,+0.45%,5841
08/03/2023,1934.76,1938.5,1931.32,1934.28,-0.41,-0.02%,5709
08/02/2023,1944.27,1953.6,1934.26,1934.69,-9.55,-0.49%,5651
08/01/2023,1965.56,1965.86,1941.55,1944.24,-21.35,-1.09%,5801
07/31/2023,1959.39,1972.15,1953.35,1965.59,6.34,+0.32%,5716
"Downloaded from Barchart.com as of 07-24-2024 07:25pm CDT"
